t1,t2,seqnr
1678786280467269916,1678786280469071890,752
1678786280567302272,1678786280569061413,753
1678786280667336262,1678786280669248555,754
1678786280767304729,1678786280769268212,755
1678786280867306539,1678786280869244074,756
1678786280967304319,1678786280969248219,757
1678786281067165434,1678786281069109074,758
1678786281167299511,1678786281169242305,759
1678786281267172904,1678786281269071216,760
1678786281367306286,1678786281369269683,761
1678786281467304170,1678786281469261199,762
1678786281567323478,1678786281569258015,763
1678786281667322424,1678786281669222129,764
1678786281767306624,1678786281769275282,765
1678786281867304104,1678786281869278679,766
1678786281967307139,1678786281969272583,767
1678786282067167033,1678786282069108929,768
1678786282167302978,1678786282169222278,769
1678786282267307714,1678786282269012327,770
1678786282367273562,1678786282369149452,771
1678786282467306682,1678786282469153386,772
1678786282567301207,1678786282569188657,773
